date,open,close,pdi,mdi,adx,adxr,dmi,side,ret,position,capital_ret,策略净值
2020/11/13,69.3,68.85,39.05309965995292,6.277792309704383,57.933044727187074,54.915215502376974,32.77530735024854,0,,,0.0,1.0
2020/11/16,69.69,69.09,30.028735632183896,6.896551724137891,59.62796127761169,55.53868176471539,23.132183908046006,0,0.0034858387799565627,0.0,,
2020/11/17,69.48,66.0,23.965609887157427,14.750134336378231,53.608817041102434,53.9722955506729,9.215475550779196,0,-0.04472427268779855,0.0,-0.0,1.0
2020/11/18,66.59,62.5,22.041018038052858,21.32443785520135,44.12143077552534,50.42726056419647,0.7165801828515086,0,-0.05303030303030298,0.0,-0.0,1.0
2020/11/19,62.0,62.53,20.702267739575692,23.579614728115057,36.96282209342178,47.15077677419221,-2.877346988539365,0,0.00048000000000003595,0.0,0.0,1.0
2020/11/20,63.1,64.45,22.962962962962937,23.106332138590165,27.868769534638904,42.25984095998202,-0.14336917562722817,0,0.030705261474492263,0.0,0.0,1.0
2020/11/23,64.45,64.57,21.65221579961461,23.289980732177227,16.425734999388368,37.179389863287724,-1.637764932562618,0,0.0018619084561675159,0.0,0.0,1.0
2020/11/24,64.0,63.63,15.46134663341644,27.83042394014958,10.746654028478574,35.18730765304513,-12.36907730673314,0,-0.014557844200092762,0.0,-0.0,1.0
2020/11/25,63.47,62.06,15.744032503809018,29.86287455561194,11.939115544985013,32.77396629304372,-14.11884205180292,0,-0.02467389596102465,0.0,-0.0,1.0
2020/11/26,62.63,62.06,16.066338429644965,28.60844778440008,16.34275292619393,30.232091850859636,-12.542109354755116,0,0.0,0.0,0.0,1.0
2020/11/27,62.01,62.62,9.7361979874898,30.024476475387512,23.764118665400176,30.363470379410977,-20.288278487897713,0,0.009023525620367234,0.0,0.0,1.0
2020/11/30,62.66,61.2,7.007419620774932,32.014289640010965,34.39300261919209,31.130886076915495,-25.006870019236032,0,-0.022676461194506503,0.0,-0.0,1.0
2020/12/1,62.01,65.28,14.361560923812048,27.87363950092911,39.11771911015399,27.77172705477118,-13.51207857711706,0,0.06666666666666665,0.0,0.0,1.0
2020/12/2,65.2,64.05,14.411294619072986,27.97016515716568,39.68789061055805,25.21727231951831,-13.558870538092695,0,-0.018841911764705954,0.0,-0.0,1.0
2020/12/3,64.17,66.59,18.34319526627218,26.93594031386672,37.69115544149549,24.815135493240252,-8.59274504759454,0,0.039656518345043024,0.0,0.0,1.0
2020/12/4,66.17,67.01,19.669211195928764,26.641221374045777,35.521271960707125,25.932012443450528,-6.972010178117014,0,0.0063072533413426335,0.0,0.0,1.0
2020/12/7,66.9,66.8,21.47222222222223,20.500000000000004,27.40299779373038,25.583558229565277,0.972222222222225,1,-0.003133860617818396,0.0,-0.0,1.0
2020/12/8,67.09,66.63,23.631916845001534,14.613268113726688,20.652435802009204,27.52271921060065,9.018648731274846,1,-0.002544910179640758,1.0,-0.006856461469667674,0.9931435385303323
2020/12/9,66.64,66.0,26.867506916692268,11.497079618813409,21.99770996705081,30.5577145386024,15.370427297878859,1,-0.00945520036019809,1.0,-0.00945520036019809,0.983753167387092
2020/12/10,66.21,68.45,21.681957186544352,11.437308868501535,21.821066145492992,30.75447837802552,10.244648318042817,0,0.03712121212121211,1.0,0.03712121212121211,1.0202712773885825
2020/12/11,68.88,67.29,21.611290796824452,10.996765657159669,24.083495442976382,30.887325442235934,10.614525139664783,1,-0.016946676406135786,0.0,0.0062819576333088545,1.0266805783276194
2020/12/14,67.01,68.85,21.459854014598523,6.5693430656934515,30.428504600485525,32.974888280596325,14.89051094890507,1,0.023183236736513457,1.0,0.027458588270407258,1.054871777613141
2020/12/15,68.95,68.9,24.64142283419389,4.733218588640291,41.33801971878464,34.37050875625751,19.9082042455536,1,0.0007262164124910431,1.0,0.0007262164124910431,1.0556378428111173
2020/12/16,69.0,69.81,25.183230724127796,3.3714453239519373,50.13883669696116,35.39563624948518,21.811785400175857,1,0.013207547169811207,1.0,0.013207547169811207,1.0695802294142829
2020/12/17,69.93,70.66,28.46650998824909,3.378378378378397,56.59186757342375,39.294788770237275,25.088131609870693,1,0.012175906030654549,1.0,0.012175906030654549,1.0826033377798772
2020/12/18,70.82,69.5,29.373713613643044,1.587768303440184,66.39370008993768,44.10738311771534,27.78594531020286,1,-0.01641664307953572,1.0,-0.01641664307953572,1.064830625186831
2020/12/21,69.61,69.44,22.02656780970034,9.793018226753176,67.37615899486676,45.72982721892157,12.233549582947163,0,-0.0008633093525179936,1.0,-0.0008633093525179936,1.0639113469492596
2020/12/22,69.0,68.9,27.0181709859994,9.442955019362536,66.55576139138094,48.49213299593323,17.575215966636865,1,-0.0077764976958524246,0.0,-0.006336405529953848,1.0571699732070696
2020/12/23,69.69,70.23,22.252497729336966,9.809264305177104,61.728554858094846,51.533287288439745,12.443233424159862,0,0.01930333817126262,1.0,0.007748600947051321,1.0653615614626561
