,long,short,long_short,original
2018-11-23,0.999290021438693,1.0,0.999290021438693,0.999290021438693
2018-11-26,0.9980168763539156,1.0,0.9980168763539156,0.9980168763539156
2018-11-27,1.0112796817993028,1.0,1.0112796817993028,1.0112796817993028
2018-11-28,1.0112796817993028,1.0129849874766141,1.0244111358028212,0.9981482277957847
2018-11-29,1.0225718734868332,1.0129849874766141,1.0358499564579975,1.009293790515669
2018-11-30,1.0225718734868332,0.9848050336860819,1.0070339283156404,1.037371059902111
2018-12-03,1.0246914612267684,0.9848050336860819,1.0091213089912678,1.0395213234066554
2018-12-04,1.0246914612267684,0.9895382442043525,1.0139713893935285,1.0345251332028962
2018-12-05,1.0246914612267684,1.010938990041961,1.0359005509172101,1.0121514558155256
2018-12-06,1.0246565498595737,1.010938990041961,1.0358652576549172,1.0121169716878953
2018-12-07,1.0246565498595737,1.0226326300963005,1.0478472225282964,1.0004097057931303
2018-12-10,1.0246565498595737,1.0177377042460671,1.0428316046947779,1.0051982595568119
2018-12-11,1.0246565498595737,1.014261283203736,1.0392694671036837,1.0086318479624083
2018-12-12,1.0246565498595737,0.9985598245011796,1.0231808646017597,1.02424615915532
2018-12-13,1.0075407638185616,0.9985598245011796,1.006089728296447,1.007137228249805
2018-12-14,1.0060404533003884,0.9985598245011796,1.0045915784887225,1.0056375186290643
2018-12-17,1.0060404533003884,1.0089112544960388,1.0150055358130579,0.995212718713353
2018-12-18,1.0060404533003884,1.020940751977906,1.0271076969126913,0.9833465522489254
2018-12-19,0.9983242312669841,1.020940751977906,1.019229891387479,0.9758043899948697
2018-12-20,0.9859496224368681,1.020940751977906,1.0065961489430282,0.963708923168855
2018-12-21,0.9859496224368681,1.0179740404256024,1.0036711208081555,0.9665093270021667
2018-12-24,0.9859496224368681,1.0249823246497176,1.0105809359928521,0.9598553537180765
2018-12-25,0.9859496224368681,1.030162401640253,1.0156882309458646,0.9550044167677866
2018-12-26,0.9859496224368681,1.0341179488278993,1.0195882012020556,0.9513374560740931
2018-12-27,0.9925922496011953,1.0341179488278993,1.026457461180058,0.9577468910841099
2018-12-28,0.9790358225526711,1.0341179488278993,1.0124385166472032,0.944666367973891
2019-01-02,0.9790358225526711,1.035752319821044,1.014038624396833,0.9431733706695064
2019-01-03,1.0024916661362337,1.035752319821044,1.0383330688018675,0.9657700178452182
2019-01-04,1.0024916661362337,1.029464912867393,1.0320299957292252,0.9716326058497298
2019-01-07,1.0024916661362337,1.0316893004584304,1.034259925751497,0.9695331778027072
2019-01-08,1.0024916661362337,1.0212724223633576,1.0238170922740295,0.9793224708755458
2019-01-09,1.000606341810292,1.0212724223633576,1.0218916625327343,0.977480719427976
2019-01-10,1.0078004359365278,1.0212724223633576,1.0292387924677453,0.9845085464647537
2019-01-11,1.0078004359365278,1.0301803051277993,1.0382161606010212,0.9759213306343251
2019-01-14,1.0078004359365278,1.0099628053547567,1.017840955516202,0.9950739869046847
2019-01-15,1.0078004359365278,1.0097492853889727,1.0176257700016038,0.9952843591703859
2019-01-16,1.0078004359365278,1.0153117223833976,1.0232315964294547,0.9898016055606231
2019-01-17,1.026184289273854,1.0153117223833976,1.041896938225419,1.0078571321319794
2019-01-18,1.026184289273854,1.0097154762454819,1.0361541583597804,1.013412289684996
2019-01-21,1.026184289273854,1.023128950599892,1.0499188550068537,0.9999497053452182
2019-01-22,1.0254452042440658,1.023128950599892,1.0491626757159223,0.9992295151557107
2019-01-23,1.0254452042440658,1.0173542818993713,1.043241069390875,1.0048692924315106
2019-01-24,1.0254452042440658,1.0090809355462496,1.034757206050016,1.0130411081340807
2019-01-25,1.0252224024510086,1.0090809355462496,1.0345323810082365,1.0128210014190666
2019-01-28,1.0252224024510086,1.0058506051738807,1.0312205739431661,1.0160633047144767
2019-01-29,1.0252224024510086,1.0138769846935012,1.039449398037255,1.0079554309828818
2019-01-30,1.0359487749006535,1.0138769846935012,1.0503246201932006,1.0185011480287804
2019-01-31,1.0359487749006535,0.9993846725270903,1.0353113271589294,1.0330595577786013
2019-02-01,1.0359487749006535,0.9812042506490865,1.0164773413872343,1.051852580227132
2019-02-11,1.0359487749006535,0.9741229031428275,1.0091414281134794,1.0594437964708612
2019-02-12,1.0359487749006535,0.9546154088393943,0.9889326632884564,1.0806599015000975
2019-02-13,1.0359487749006535,0.9531786639036826,0.9874442691324611,1.082286349833458
2019-02-14,1.0492263073866464,0.9531786639036826,1.0001001298073975,1.0961577810443677
2019-02-18,1.0492263073866464,0.9548763106534874,1.001881345437942,1.09420548315444
2019-02-19,1.0492263073866464,0.9514562699415506,0.9982929487506446,1.098124553360561
2019-02-20,1.0492263073866464,0.9539980512486251,1.0009598525656507,1.0951909529936805
2019-02-21,1.0728191863255832,0.9539980512486251,1.0234674130967412,1.119817391910711
2019-02-22,1.0728191863255832,0.8972574262889681,0.9625949819959169,1.186420398672145
2019-02-25,1.0728191863255832,0.9080331290185267,0.9741553626303283,1.1721719643278883
2019-02-26,1.070984498360163,0.9080331290185267,0.9724894051763152,1.1701673676318494
2019-02-27,1.0683577506713275,0.9080331290185267,0.9701042312532797,1.1672973593047595
2019-02-28,1.0917503570593874,0.9080331290185267,0.9913454928277284,1.192856333016402
2019-03-01,1.0917503570593874,0.8972836918714903,0.979609790984264,1.2069775514691512
2019-03-04,1.098054711637671,0.8972836918714903,0.9852665855351335,1.2139472899293113
2019-03-05,1.098054711637671,0.8897411973349065,0.9769845138717363,1.224151633198824
2019-03-06,1.098054711637671,0.8988142636369472,0.986947237073693,1.2116684426204478
